sponsored,file
0.414226,"1000043_raw_html.txt"
0.731407,"1000097_raw_html.txt"
0.414226,"1000253_raw_html.txt"
0.414226,"100025_raw_html.txt"
0.414226,"1000313_raw_html.txt"
0.414226,"1000319_raw_html.txt"
0.72596,"1000325_raw_html.txt"
0.420673,"1000493_raw_html.txt"
0.417176,"1000553_raw_html.txt"
0.41579,"1000619_raw_html.txt"
0.415647,"1000649_raw_html.txt"
0.480033,"1000673_raw_html.txt"
0.367592,"1000769_raw_html.txt"
0.414079,"1000955_raw_html.txt"
0.414226,"1000985_raw_html.txt"
0.544748,"1001021_raw_html.txt"
0.415427,"1001045_raw_html.txt"
0.46495,"1001153_raw_html.txt"
0.421986,"1001285_raw_html.txt"
0.414226,"1001291_raw_html.txt"
0.415189,"1001351_raw_html.txt"
0.414226,"1001393_raw_html.txt"
0.504298,"1001471_raw_html.txt"
0.414226,"1001579_raw_html.txt"
0.414226,"1001687_raw_html.txt"
0.503033,"1001723_raw_html.txt"
0.82899,"1001831_raw_html.txt"
0.421138,"1001867_raw_html.txt"
0.496147,"1001963_raw_html.txt"
0.414226,"1002005_raw_html.txt"
0.414226,"1002101_raw_html.txt"
0.414226,"100211_raw_html.txt"
0.441327,"1002143_raw_html.txt"
0.414226,"1002197_raw_html.txt"
0.535024,"1002413_raw_html.txt"
0.415189,"100241_raw_html.txt"
0.414226,"1002461_raw_html.txt"
0.501408,"1002473_raw_html.txt"
0.415427,"1002533_raw_html.txt"
0.415427,"1002563_raw_html.txt"
0.580757,"1002587_raw_html.txt"
0.489993,"1002599_raw_html.txt"
0.502359,"1002695_raw_html.txt"
0.415647,"1002701_raw_html.txt"
0.520552,"1002713_raw_html.txt"
0.414226,"100271_raw_html.txt"
0.484221,"1002743_raw_html.txt"
0.458042,"1002869_raw_html.txt"
0.437029,"1002977_raw_html.txt"
0.414226,"1002995_raw_html.txt"
0.414226,"1003097_raw_html.txt"
0.766516,"1003229_raw_html.txt"
0.514857,"1003241_raw_html.txt"
0.495396,"100325_raw_html.txt"
0.414226,"1003349_raw_html.txt"
0.414226,"100337_raw_html.txt"
0.678788,"1003385_raw_html.txt"
0.440998,"1003445_raw_html.txt"
0.444286,"1003457_raw_html.txt"
0.414226,"1003541_raw_html.txt"
0.499281,"1003547_raw_html.txt"
0.414226,"1003565_raw_html.txt"
0.414226,"1003673_raw_html.txt"
0.415189,"1003697_raw_html.txt"
0.414226,"1003745_raw_html.txt"
