file,sponsored
119_raw_html.txt,0.036
167_raw_html.txt,0.098
329_raw_html.txt,0.048
419_raw_html.txt,0.034
431_raw_html.txt,0.083
455_raw_html.txt,0.03866666666666667
497_raw_html.txt,0.0
527_raw_html.txt,0.322
533_raw_html.txt,0.038
575_raw_html.txt,0.102
599_raw_html.txt,0.002
863_raw_html.txt,0.053
875_raw_html.txt,0.695
935_raw_html.txt,0.136
1031_raw_html.txt,0.05322073947250038
1043_raw_html.txt,0.056
1079_raw_html.txt,0.132
1193_raw_html.txt,0.2535
1421_raw_html.txt,0.129
1451_raw_html.txt,0.14385
1577_raw_html.txt,0.053
1589_raw_html.txt,0.142
1637_raw_html.txt,0.0
1709_raw_html.txt,0.042
1715_raw_html.txt,0.035
1745_raw_html.txt,0.0
1835_raw_html.txt,0.1271031746031746
2009_raw_html.txt,0.0365
2099_raw_html.txt,0.0425
2135_raw_html.txt,0.12
2315_raw_html.txt,0.092
2321_raw_html.txt,0.045
2387_raw_html.txt,0.042
2441_raw_html.txt,0.07263492063492064
2453_raw_html.txt,0.008
2759_raw_html.txt,0.215
2783_raw_html.txt,0.096
2789_raw_html.txt,0.123
2927_raw_html.txt,0.089
2981_raw_html.txt,0.037
3059_raw_html.txt,0.145
3065_raw_html.txt,0.269
3083_raw_html.txt,0.071
3095_raw_html.txt,0.062
3311_raw_html.txt,0.105
3317_raw_html.txt,0.0
3359_raw_html.txt,0.008
3461_raw_html.txt,0.004
3575_raw_html.txt,0.024
3689_raw_html.txt,0.212
3707_raw_html.txt,0.079
3731_raw_html.txt,0.051
3767_raw_html.txt,0.10708670246278587
3803_raw_html.txt,0.0
3809_raw_html.txt,0.069
3839_raw_html.txt,0.0
3881_raw_html.txt,0.078
3959_raw_html.txt,0.054
4007_raw_html.txt,0.307
4055_raw_html.txt,0.02
4163_raw_html.txt,0.11566666666666665
4187_raw_html.txt,0.0
4325_raw_html.txt,0.091
4331_raw_html.txt,0.07
4409_raw_html.txt,0.0575
4481_raw_html.txt,0.005
4529_raw_html.txt,0.206
4589_raw_html.txt,0.09633333333333334
4655_raw_html.txt,0.118
4673_raw_html.txt,0.092
4721_raw_html.txt,0.037
4769_raw_html.txt,0.143
4871_raw_html.txt,0.032168645690834476
4943_raw_html.txt,0.017
4973_raw_html.txt,0.05322073947250038
5015_raw_html.txt,0.08963157894736842
5057_raw_html.txt,0.0
5093_raw_html.txt,0.0008444444444444445
5237_raw_html.txt,0.291
5249_raw_html.txt,0.045
5477_raw_html.txt,0.148
5483_raw_html.txt,0.047
5489_raw_html.txt,0.13
5501_raw_html.txt,0.056
5573_raw_html.txt,0.10566666666666666
5591_raw_html.txt,0.17475
5609_raw_html.txt,0.062
5681_raw_html.txt,0.087
5693_raw_html.txt,0.116
5735_raw_html.txt,0.142
5933_raw_html.txt,0.021
6005_raw_html.txt,0.145
6359_raw_html.txt,0.0172
6419_raw_html.txt,0.113
6455_raw_html.txt,0.071
6461_raw_html.txt,0.151
6479_raw_html.txt,0.0
6575_raw_html.txt,0.103
6623_raw_html.txt,0.024
6725_raw_html.txt,0.078
6803_raw_html.txt,0.115
6833_raw_html.txt,0.0
6845_raw_html.txt,0.13475
6911_raw_html.txt,0.081
6941_raw_html.txt,0.05322073947250038
6983_raw_html.txt,0.726
7037_raw_html.txt,0.313
7079_raw_html.txt,0.0
7199_raw_html.txt,0.026
7367_raw_html.txt,0.181
7439_raw_html.txt,0.074
7523_raw_html.txt,0.0
7601_raw_html.txt,0.118
7697_raw_html.txt,0.072
7745_raw_html.txt,0.142
7763_raw_html.txt,0.142
7769_raw_html.txt,0.0515
7877_raw_html.txt,0.0915926015964487
7949_raw_html.txt,0.065
7985_raw_html.txt,0.091
8027_raw_html.txt,0.117
8081_raw_html.txt,0.003
8087_raw_html.txt,0.016
8231_raw_html.txt,0.088
8405_raw_html.txt,0.121
8441_raw_html.txt,0.05322073947250038
8537_raw_html.txt,0.023
8609_raw_html.txt,0.0
8657_raw_html.txt,0.083
8723_raw_html.txt,0.11391428571428572
8831_raw_html.txt,0.056
8981_raw_html.txt,0.03
9053_raw_html.txt,0.102
9059_raw_html.txt,0.046
9077_raw_html.txt,0.086
9125_raw_html.txt,0.0
9515_raw_html.txt,0.0
9545_raw_html.txt,0.109
9587_raw_html.txt,0.075
9695_raw_html.txt,0.16
9851_raw_html.txt,0.161
9965_raw_html.txt,0.113
10133_raw_html.txt,0.13566666666666669
10145_raw_html.txt,0.008573327905199301
10229_raw_html.txt,0.0
10241_raw_html.txt,0.0
10271_raw_html.txt,0.0
10301_raw_html.txt,0.018
10313_raw_html.txt,0.033
10415_raw_html.txt,0.053
10559_raw_html.txt,0.103
10589_raw_html.txt,0.015
10751_raw_html.txt,0.048260472319008894
10757_raw_html.txt,0.06682500000000001
10781_raw_html.txt,0.276
10787_raw_html.txt,0.065
10799_raw_html.txt,0.058
10871_raw_html.txt,0.017
10895_raw_html.txt,0.07566666666666666
10943_raw_html.txt,0.1415
10979_raw_html.txt,0.041
11045_raw_html.txt,0.032
11075_raw_html.txt,0.1995
11087_raw_html.txt,0.077
11099_raw_html.txt,0.061799999999999994
11129_raw_html.txt,0.05322073947250038
11207_raw_html.txt,0.082
11225_raw_html.txt,0.109
11255_raw_html.txt,0.013
11279_raw_html.txt,0.084
11339_raw_html.txt,0.05275
11345_raw_html.txt,0.10945714285714285
11375_raw_html.txt,0.17
11393_raw_html.txt,0.111
11603_raw_html.txt,0.143
11639_raw_html.txt,0.166
11645_raw_html.txt,0.05322073947250038
11669_raw_html.txt,0.121
11771_raw_html.txt,0.079
11795_raw_html.txt,0.113
11831_raw_html.txt,0.087
11909_raw_html.txt,0.13553333333333334
11915_raw_html.txt,0.143
11921_raw_html.txt,0.265
12101_raw_html.txt,0.218
12149_raw_html.txt,0.0
12203_raw_html.txt,0.027
12215_raw_html.txt,0.026
12239_raw_html.txt,0.060166666666666674
12347_raw_html.txt,0.178
12431_raw_html.txt,0.023
12497_raw_html.txt,0.08775
12623_raw_html.txt,0.057
12671_raw_html.txt,0.118
12833_raw_html.txt,0.245
12881_raw_html.txt,0.0
12911_raw_html.txt,0.0
12923_raw_html.txt,0.013
12953_raw_html.txt,0.072
12965_raw_html.txt,0.05322073947250038
13109_raw_html.txt,0.045
13253_raw_html.txt,0.108
13397_raw_html.txt,0.052
13601_raw_html.txt,0.04
13739_raw_html.txt,0.131
13787_raw_html.txt,0.139
13943_raw_html.txt,0.106
13973_raw_html.txt,0.029
14069_raw_html.txt,0.1305
14183_raw_html.txt,0.017
14213_raw_html.txt,0.073
14255_raw_html.txt,0.049
14261_raw_html.txt,0.064
14339_raw_html.txt,0.049
14417_raw_html.txt,0.0
14423_raw_html.txt,0.031
14429_raw_html.txt,0.913
14507_raw_html.txt,0.087
14537_raw_html.txt,0.0
14543_raw_html.txt,0.141
14609_raw_html.txt,0.25
14633_raw_html.txt,0.016
14651_raw_html.txt,0.267
14669_raw_html.txt,0.035
14675_raw_html.txt,0.011
14801_raw_html.txt,0.14
14891_raw_html.txt,0.03907142857142857
14903_raw_html.txt,0.032600000000000004
14999_raw_html.txt,0.03
15041_raw_html.txt,0.023
15107_raw_html.txt,0.049
